piercing-rounds-magazine,firearm-magazine,1
piercing-rounds-magazine,steel-plate,1
piercing-rounds-magazine,copper-plate,5
uranium-rounds-magazine,piercing-rounds-magazine,1
uranium-rounds-magazine,uranium-238,1
rocket,electronic-circuit,1
rocket,explosives,1
rocket,iron-plate,2
explosive-rocket,rocket,1
explosive-rocket,explosives,2
atomic-bomb,processing-unit,20
atomic-bomb,explosives,10
atomic-bomb,uranium-235,30
shotgun-shell,copper-plate,2
shotgun-shell,iron-plate,2
piercing-shotgun-shell,shotgun-shell,2
piercing-shotgun-shell,copper-plate,5
piercing-shotgun-shell,steel-plate,2
railgun-dart,steel-plate,5
railgun-dart,electronic-circuit,5
cannon-shell,steel-plate,2
cannon-shell,plastic-bar,2
cannon-shell,explosives,1
explosive-cannon-shell,steel-plate,2
explosive-cannon-shell,plastic-bar,2
explosive-cannon-shell,explosives,2
uranium-cannon-shell,cannon-shell,1
uranium-cannon-shell,uranium-238,1
explosive-uranium-cannon-shell,explosive-cannon-shell,1
explosive-uranium-cannon-shell,uranium-238,1
flamethrower-ammo,steel-plate,5
flamethrower-ammo,light-oil,50
flamethrower-ammo,heavy-oil,50
poison-capsule,steel-plate,3
poison-capsule,electronic-circuit,3
poison-capsule,coal,10
slowdown-capsule,steel-plate,2
slowdown-capsule,electronic-circuit,2
slowdown-capsule,coal,5
grenade,iron-plate,5
grenade,coal,10
cluster-grenade,grenade,7
cluster-grenade,explosives,5
cluster-grenade,steel-plate,5
defender-capsule,piercing-rounds-magazine,1
defender-capsule,electronic-circuit,2
defender-capsule,iron-gear-wheel,3
distractor-capsule,defender-capsule,4
distractor-capsule,advanced-circuit,3
destroyer-capsule,distractor-capsule,4
destroyer-capsule,speed-module,1
discharge-defense-remote,electronic-circuit,1
copper-plate,copper-ore,1
iron-plate,iron-ore,1
stone-brick,stone,2
wood,raw-wood,1
wooden-chest,wood,4
iron-stick,iron-plate,1
iron-axe,iron-stick,2
iron-axe,iron-plate,3
stone-furnace,stone,5
boiler,stone-furnace,1
boiler,pipe,4
steam-engine,iron-gear-wheel,8
steam-engine,pipe,5
steam-engine,iron-plate,10
iron-gear-wheel,iron-plate,2
electronic-circuit,iron-plate,1
electronic-circuit,copper-cable,3
transport-belt,iron-plate,1
transport-belt,iron-gear-wheel,1
electric-mining-drill,electronic-circuit,3
electric-mining-drill,iron-gear-wheel,5
electric-mining-drill,iron-plate,10
burner-mining-drill,iron-gear-wheel,3
burner-mining-drill,stone-furnace,1
burner-mining-drill,iron-plate,3
inserter,electronic-circuit,1
inserter,iron-gear-wheel,1
inserter,iron-plate,1
burner-inserter,iron-plate,1
burner-inserter,iron-gear-wheel,1
